code,description,category,subcategory,unit,rate,brand,keywords
35763_9734cdb4,Nails Masonry - big top 3.5 * 50mm box100,Nails,Individual Pieces,Unit,6.71,,nails; masonry; big; top; 3.5; 50mm; box100; individual pieces; 35763_9734cdb4
35764_2ce3c486,Nails Masonry - r-mnl 2.5 * 30mm box100,Nails,Individual Pieces,Unit,0.92,,nails; masonry; mnl; 2.5; 30mm; box100; individual pieces; 35764_2ce3c486
35765_32929d5d,Nails Masonry - r-mnl 2.5 * 50mm box100,Nails,Individual Pieces,Unit,1.6,,nails; masonry; mnl; 2.5; 50mm; box100; individual pieces; 35765_32929d5d
35766_dc597ac3,Strap band galv - 25mm * 1mm * 10m,General,Individual Pieces,Unit,5.95,,strap; band; galv; 25mm; 1mm; 10m; general; individual pieces; 35766_dc597ac3
35767_6d6dc148,Strap band galv - variant not in use,General,,Unit,,,strap; band; galv; variant; not; use; general; 35767_6d6dc148
35769_15be33a5,Timber Screws - exterior 4 * 60mm (200),Screws,Individual Pieces,Unit,6.38,,timber; screws; exterior; 60mm; (200); individual pieces; 35769_15be33a5
35770_df510b9b,Timber Screws - variant not in use,Screws,,Unit,,,timber; screws; variant; not; use; 35770_df510b9b
35782_3607fea7,Calving gate - 12ft gate,Gates,,Unit,530,,calving; gate; 12ft; gates; 35782_3607fea7
35783_fc52e962,Calving gate - variant not in use,Gates,,Unit,,,calving; gate; variant; not; use; gates; 35783_fc52e962
35803_593f0faa,"Supply and fit concrete post and tension mesh as below - 1.95m Concrete posts set in concrete footings at 3m centers, 2.4m Concrete strainers set in concrete footings as required, 13-140-5 tension mesh fixed to the 3 No line wires",Posts,Sets & Kits,m,44.626,,supply; and; fit; concrete; post; tension; mesh; below; 1.95m; posts; set; footings; centers; 2.4m; strainers; required; 140; fixed; the; line; wires; sets & kits; 35803_593f0faa
35804_6431d114,Supply and fit concrete post and tension mesh as below - 2,Posts,,m,,,supply; and; fit; concrete; post; tension; mesh; below; posts; 35804_6431d114
35807_24c56ee2,"DCC Social housing spec - 2.6m steel H post set in concrete footings at 2.4m centers, with 2No cover strips, 4No 2.4m x 300mm composite board with metal reinforcing, 0.9m double sided timber panel to top,",General,Sets & Kits,Unit,245.415,,dcc; social; housing; spec; 2.6m; steel; post; set; concrete; footings; 2.4m; centers; with; 2no; cover; strips; 4no; 300mm; composite; board; metal; reinforcing; 0.9m; double; sided; timber; panel; top; general; sets & kits; 35807_24c56ee2
35808_0e0c9d4c,"DCC Social housing spec - 2.6m Steel H posts set in concrete footings at 1.8m centers, with 2 No cover strips, 4No 1.8m x 300mm concrete gravel boards, 0.9m double sided timber panel fitted to the top.",General,Sets & Kits,Unit,221.895,,dcc; social; housing; spec; 2.6m; steel; posts; set; concrete; footings; 1.8m; centers; with; cover; strips; 4no; 300mm; gravel; boards; 0.9m; double; sided; timber; panel; fitted; the; top.; general; sets & kits; 35808_0e0c9d4c
35820_57e63807,"DCC Social housing spec - 2.4m steel H post set in concrete footings at 1.8m centers, 1No 300mm composite gravel board including metal reinforcing, 1.6m single sided timber panel fixed between the posts, price includes aluminum cover strips for posts",General,Sets & Kits,Unit,,,dcc; social; housing; spec; 2.4m; steel; post; set; concrete; footings; 1.8m; centers; 1no; 300mm; composite; gravel; board; including; metal; reinforcing; 1.6m; single; sided; timber; panel; fixed; between; the; posts; price; includes; aluminum; cover; strips; for; general; sets & kits; 35820_57e63807
35821_f18eecb8,"DCC Social housing spec - 2.4m steel H post set in concrete footings at 1.8m centers, 1No 300mm composite gravel board including metal reinforcing, 1.6m double sided timber panel fixed between the posts, price includes aluminum cover strips for posts",General,Sets & Kits,Unit,205.561,,dcc; social; housing; spec; 2.4m; steel; post; set; concrete; footings; 1.8m; centers; 1no; 300mm; composite; gravel; board; including; metal; reinforcing; 1.6m; double; sided; timber; panel; fixed; between; the; posts; price; includes; aluminum; cover; strips; for; general; sets & kits; 35821_f18eecb8
35810_ca9f152d,Maul - Fibreglass handle 14lb,General,,Unit,33.75,,maul; fibreglass; handle; 14lb; general; 35810_ca9f152d
35811_0e79a0a6,Maul - Aluminium,General,,Unit,,,maul; aluminium; general; 35811_0e79a0a6
35829_c1bb5fe5,Board decking timber - 3.6m 120 * 28mm,General,Individual Pieces,Unit,,,board; decking; timber; 3.6m; 120; 28mm; general; individual pieces; 35829_c1bb5fe5
35830_9e715c81,Board decking timber - 4.2m 120 * 28mm,General,Individual Pieces,Unit,,,board; decking; timber; 4.2m; 120; 28mm; general; individual pieces; 35830_9e715c81
35831_0786604f,Board decking timber - 4.8m 120 * 28mm,General,Individual Pieces,Unit,,,board; decking; timber; 4.8m; 120; 28mm; general; individual pieces; 35831_0786604f
35832_aee7b6d9,Board decking timber - 5.4m 120 * 28mm,General,Individual Pieces,Unit,,,board; decking; timber; 5.4m; 120; 28mm; general; individual pieces; 35832_aee7b6d9
35833_7a98e636,Board decking timber - 3.6m 144 * 32mm,General,Individual Pieces,Unit,10.64,,board; decking; timber; 3.6m; 144; 32mm; general; individual pieces; 35833_7a98e636
35834_76cd5c49,Board decking timber - 4.2m 144 * 32mm,General,Individual Pieces,Unit,12.41,,board; decking; timber; 4.2m; 144; 32mm; general; individual pieces; 35834_76cd5c49
35839_dfbf9331,Standard haynet - standard dark green,General,,Unit,2.74,,standard; haynet; dark; green; general; 35839_dfbf9331
35840_3a255713,Standard haynet - standard black,General,,Unit,2.74,,standard; haynet; black; general; 35840_3a255713
35841_b3d93c64,Standard haynet - standard purple,General,,Unit,2.74,,standard; haynet; purple; general; 35841_b3d93c64
35842_0e38dd30,Standard haynet - standard red,General,,Unit,2.74,,standard; haynet; red; general; 35842_0e38dd30
35843_96999d75,Standard haynet - small hole black,General,,Unit,3.89,,standard; haynet; small; hole; black; general; 35843_96999d75
35847_9b04c30e,Standard haynet - small hole bright green,General,,Unit,3.89,,standard; haynet; small; hole; bright; green; general; 35847_9b04c30e
35848_5af05758,Standard haynet - small hole navy blue,General,,Unit,3.89,,standard; haynet; small; hole; navy; blue; general; 35848_5af05758
35844_f7af5244,Standard haynet - small hole dark green,General,,Unit,3.89,,standard; haynet; small; hole; dark; green; general; 35844_f7af5244
35846_3ca31927,Standard haynet - small hole pink,General,,Unit,3.89,,standard; haynet; small; hole; pink; general; 35846_3ca31927
35845_b0018d7f,Standard haynet - small hole purple,General,,Unit,3.89,,standard; haynet; small; hole; purple; general; 35845_b0018d7f
35849_4a3183dc,Standard haynet - small hole royal blue,General,,Unit,3.89,,standard; haynet; small; hole; royal; blue; general; 35849_4a3183dc
35851_061cc528,Extra strong haynet - standard black,General,,Unit,5.18,,extra; strong; haynet; standard; black; general; 35851_061cc528
35852_843df14d,Extra strong haynet - standard red,General,,Unit,5.18,,extra; strong; haynet; standard; red; general; 35852_843df14d
35853_6de264d2,Extra strong haynet - standard royal blue,General,,Unit,5.18,,extra; strong; haynet; standard; royal; blue; general; 35853_6de264d2
35854_db4218e4,Extra strong haynet - small hole black,General,,Unit,6.3,,extra; strong; haynet; small; hole; black; general; 35854_db4218e4
35855_e5c35e65,Extra strong haynet - small hole red,General,,Unit,6.3,,extra; strong; haynet; small; hole; red; general; 35855_e5c35e65
35856_14780030,Extra strong haynet - small hole royal blue,General,,Unit,6.3,,extra; strong; haynet; small; hole; royal; blue; general; 35856_14780030
35859_3b053b41,Blaklader Trousers - 1750 Craftsman with stretch - Mid Grey - C44/30R,General,,Unit,61.43,,blaklader; trousers; 1750; craftsman; with; stretch; mid; grey; c44; 30r; general; 35859_3b053b41
35860_95962c8f,Blaklader Trousers - 1750 Craftsman with stretch - Mid Grey - C46/32R,General,,Unit,61.43,,blaklader; trousers; 1750; craftsman; with; stretch; mid; grey; c46; 32r; general; 35860_95962c8f
35861_11f4f3a2,Blaklader Trousers - 1750 Craftsman with stretch - Mid Grey - C48/33R,General,,Unit,61.43,,blaklader; trousers; 1750; craftsman; with; stretch; mid; grey; c48; 33r; general; 35861_11f4f3a2
35862_5e8dd0bb,Blaklader Trousers - 1750 Craftsman with stretch - Mid Grey - C50/34R,General,,Unit,61.43,,blaklader; trousers; 1750; craftsman; with; stretch; mid; grey; c50; 34r; general; 35862_5e8dd0bb
35863_29061db3,Blaklader Trousers - 1750 Craftsman with stretch - Mid Grey - C52/36R,General,,Unit,61.43,,blaklader; trousers; 1750; craftsman; with; stretch; mid; grey; c52; 36r; general; 35863_29061db3
35864_6e0b459e,Blaklader Trousers - 1750 Craftsman with stretch - Mid Grey - C54/38R,General,,Unit,61.43,,blaklader; trousers; 1750; craftsman; with; stretch; mid; grey; c54; 38r; general; 35864_6e0b459e
35865_8b26820d,Blaklader Trousers - 1750 Craftsman with stretch - Dark Navy - C46/32R,General,,Unit,61.43,,blaklader; trousers; 1750; craftsman; with; stretch; dark; navy; c46; 32r; general; 35865_8b26820d
35866_d0d1521f,Blaklader Trousers - 1750 Craftsman with stretch - Dark Navy - C48/33R,General,,Unit,61.43,,blaklader; trousers; 1750; craftsman; with; stretch; dark; navy; c48; 33r; general; 35866_d0d1521f
35867_518413cd,Blaklader Trousers - 1750 Craftsman with stretch - Dark Navy - C50/34R,General,,Unit,61.43,,blaklader; trousers; 1750; craftsman; with; stretch; dark; navy; c50; 34r; general; 35867_518413cd
35868_4c6da310,Blaklader Trousers - 1750 Craftsman with stretch - Dark Navy - C52/36R,General,,Unit,61.43,,blaklader; trousers; 1750; craftsman; with; stretch; dark; navy; c52; 36r; general; 35868_4c6da310
35869_d9c48fd4,Blaklader Trousers - 1750 Craftsman with stretch - Dark Navy - C54/38R,General,,Unit,61.43,,blaklader; trousers; 1750; craftsman; with; stretch; dark; navy; c54; 38r; general; 35869_d9c48fd4
35870_aa97a7cb,Blaklader Trousers - 1720 Craftsman 4-way stretch - Black - C46/32R,General,,Unit,84.44,,blaklader; trousers; 1720; craftsman; way; stretch; black; c46; 32r; general; 35870_aa97a7cb
35871_e87771dd,Blaklader Trousers - 1720 Craftsman 4-way stretch - Black - C48/33R,General,,Unit,84.44,,blaklader; trousers; 1720; craftsman; way; stretch; black; c48; 33r; general; 35871_e87771dd
35872_c91dbd6b,Blaklader Trousers - 1720 Craftsman 4-way stretch - Black - C50/34R,General,,Unit,84.44,,blaklader; trousers; 1720; craftsman; way; stretch; black; c50; 34r; general; 35872_c91dbd6b
35873_5fdca4d9,Blaklader Trousers - 1720 Craftsman 4-way stretch - Black - C52/36R,General,,Unit,84.44,,blaklader; trousers; 1720; craftsman; way; stretch; black; c52; 36r; general; 35873_5fdca4d9
35874_f48623f8,Blaklader Trousers - 1720 Craftsman 4-way stretch - Black - C44/38R,General,,Unit,84.44,,blaklader; trousers; 1720; craftsman; way; stretch; black; c44; 38r; general; 35874_f48623f8
35875_bcf9d0ab,Blaklader Hoodie - 3586 Hoodie - Navy - S,General,,Unit,21.65,,blaklader; hoodie; 3586; navy; general; 35875_bcf9d0ab
35876_9384813c,Blaklader Hoodie - 3586 Hoodie - Navy - M,General,,Unit,21.65,,blaklader; hoodie; 3586; navy; general; 35876_9384813c
35877_6c87cb5b,Blaklader Hoodie - 3586 Hoodie - Navy - L,General,,Unit,21.65,,blaklader; hoodie; 3586; navy; general; 35877_6c87cb5b
35878_120e0078,Blaklader Hoodie - 3586 Hoodie - Navy - XL,General,,Unit,21.65,,blaklader; hoodie; 3586; navy; general; 35878_120e0078
35879_58b399b0,Blaklader T-Shirt - 3515 T-shirt - Black/Yellow - S,General,,Unit,12.29,,blaklader; shirt; 3515; black; yellow; general; 35879_58b399b0
35880_9f49b737,Blaklader T-Shirt - 3515 T-shirt - Black/Yellow - M,General,,Unit,12.29,,blaklader; shirt; 3515; black; yellow; general; 35880_9f49b737
