code,description,category,subcategory,unit,rate,brand,keywords
31915_44e3f914,Steel drill bit - Wurth 155 piece set,Drill Bits & Tools,Steel Drill Bits,Unit,125,Wurth,steel; drill; bit; wurth; 155; piece; set; drill bits & tools; steel drill bits; 31915_44e3f914
31916_3fff938f,Steel drill bit - Wurth 19 piece set (1-10mm),Drill Bits & Tools,Steel Drill Bits,Unit,27.03,Wurth,steel; drill; bit; wurth; piece; set; 10mm); drill bits & tools; steel drill bits; 31916_3fff938f
31917_aad9a81a,Steel drill bit - Wurth 1.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.17,Wurth,steel; drill; bit; wurth; 1.0mm; drill bits & tools; steel drill bits; 31917_aad9a81a
31918_1fabd019,Steel drill bit - Wurth 2.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.9,Wurth,steel; drill; bit; wurth; 2.0mm; drill bits & tools; steel drill bits; 31918_1fabd019
31919_030ddc5b,Steel drill bit - Wurth 3.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.78,Wurth,steel; drill; bit; wurth; 3.0mm; drill bits & tools; steel drill bits; 31919_030ddc5b
31920_f56a2b9f,Steel drill bit - Wurth 3.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.99,Wurth,steel; drill; bit; wurth; 3.5mm; drill bits & tools; steel drill bits; 31920_f56a2b9f
31921_f306a193,Steel drill bit - Wurth 4.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.41,Wurth,steel; drill; bit; wurth; 4.0mm; drill bits & tools; steel drill bits; 31921_f306a193
31922_ba624fc3,Steel drill bit - Wurth 4.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.54,Wurth,steel; drill; bit; wurth; 4.5mm; drill bits & tools; steel drill bits; 31922_ba624fc3
31923_d55cdd07,Steel drill bit - Wurth 5.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.4,Wurth,steel; drill; bit; wurth; 5.0mm; drill bits & tools; steel drill bits; 31923_d55cdd07
31924_affaa5a6,Steel drill bit - Wurth 5.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.84,Wurth,steel; drill; bit; wurth; 5.5mm; drill bits & tools; steel drill bits; 31924_affaa5a6
31925_adaf9da3,Steel drill bit - Wurth 6.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.6,Wurth,steel; drill; bit; wurth; 6.0mm; drill bits & tools; steel drill bits; 31925_adaf9da3
31926_2e66ecf8,Steel drill bit - Wurth 6.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,2.97,Wurth,steel; drill; bit; wurth; 6.5mm; drill bits & tools; steel drill bits; 31926_2e66ecf8
31927_ec9a5b30,Steel drill bit - Wurth 7.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,3.39,Wurth,steel; drill; bit; wurth; 7.0mm; drill bits & tools; steel drill bits; 31927_ec9a5b30
31928_17b90e4a,Steel drill bit - Wurth 7.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,2.83,Wurth,steel; drill; bit; wurth; 7.5mm; drill bits & tools; steel drill bits; 31928_17b90e4a
31929_488fe91b,Steel drill bit - Wurth 8.00mm,Drill Bits & Tools,Steel Drill Bits,Unit,2.4,Wurth,steel; drill; bit; wurth; 8.00mm; drill bits & tools; steel drill bits; 31929_488fe91b
31998_33dbf76b,Steel drill bit - Wurth 8.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,,Wurth,steel; drill; bit; wurth; 8.0mm; drill bits & tools; steel drill bits; 31998_33dbf76b
31930_fd0ffe91,Steel drill bit - Wurth 8.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,4.01,Wurth,steel; drill; bit; wurth; 8.5mm; drill bits & tools; steel drill bits; 31930_fd0ffe91
31931_874c98d4,Steel drill bit - Wurth 9.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,3.2,Wurth,steel; drill; bit; wurth; 9.0mm; drill bits & tools; steel drill bits; 31931_874c98d4
31932_016bf7f8,Steel drill bit - Wurth 9.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,5.01,Wurth,steel; drill; bit; wurth; 9.5mm; drill bits & tools; steel drill bits; 31932_016bf7f8
31933_f2b807ad,Steel drill bit - Wurth 11.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,7.53,Wurth,steel; drill; bit; wurth; 11.0mm; drill bits & tools; steel drill bits; 31933_f2b807ad
31934_39bebf0e,Steel drill bit - Wurth 12mm,Drill Bits & Tools,Steel Drill Bits,Unit,7.7,Wurth,steel; drill; bit; wurth; 12mm; drill bits & tools; steel drill bits; 31934_39bebf0e
31935_23a2fd5b,Steel drill bit - Wurth 13.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,9,Wurth,steel; drill; bit; wurth; 13.0mm; drill bits & tools; steel drill bits; 31935_23a2fd5b
35759_543ffc32,Steel drill bit - Rawlplug 8.00mm,Drill Bits & Tools,Steel Drill Bits,Unit,3.07,,steel; drill; bit; rawlplug; 8.00mm; drill bits & tools; steel drill bits; 35759_543ffc32
35760_c7e9711c,Steel drill bit - Rawlplug 12mm,Drill Bits & Tools,Steel Drill Bits,Unit,4.13,,steel; drill; bit; rawlplug; 12mm; drill bits & tools; steel drill bits; 35760_c7e9711c
35761_d43252d1,Steel drill bit - Rawlplug 25mm,Drill Bits & Tools,Steel Drill Bits,Unit,25.28,,steel; drill; bit; rawlplug; 25mm; drill bits & tools; steel drill bits; 35761_d43252d1
31963_74581a68,"Adhesives - 300ml,colour",General,,Unit,5.9,,adhesives; 300ml; colour; general; 31963_74581a68
31999_4955797b,"Adhesives - 300ml,colour",General,,Unit,10.51,,adhesives; 300ml; colour; general; 31999_4955797b
31964_7f8385e7,"Adhesives - 330ml,colour",General,,Unit,,,adhesives; 330ml; colour; general; 31964_7f8385e7
32000_c4e4f5d0,"Adhesives - 330ml,colour",General,,Unit,,,adhesives; 330ml; colour; general; 32000_c4e4f5d0
31965_7e876005,"Adhesives - 500ml,colour",General,,Unit,,,adhesives; 500ml; colour; general; 31965_7e876005
32001_c7374eb5,"Adhesives - 500ml,colour",General,,Unit,,,adhesives; 500ml; colour; general; 32001_c7374eb5
31966_73e6e8a6,Flap disc - Lamella flap disc 115mm 0579580316,General,Individual Pieces,Unit,1.1,,flap; disc; lamella; 115mm; 0579580316; general; individual pieces; 31966_73e6e8a6
31967_d12f2368,Flap disc - Wurth flap disc 230mm,General,Individual Pieces,Unit,,Wurth,flap; disc; wurth; 230mm; general; individual pieces; 31967_d12f2368
31968_bb499bdf,Expanding Foam,General,,Unit,7.48,,expanding; foam; general; 31968_bb499bdf
32012_58c41a7f,Vento panel board - Grey (8 pk) B815183A,Panels,,Unit,63.25,,vento; panel; board; grey; pk); b815183a; panels; 32012_58c41a7f
32013_28b61e1e,Vento panel board - Brown (8 pk) B815183B,Panels,,Unit,58.03,,vento; panel; board; brown; pk); b815183b; panels; 32013_28b61e1e
32014_0abfda0b,Vento panel board - Natural (8 pk) B815183G,Panels,,Unit,69.64,,vento; panel; board; natural; pk); b815183g; panels; 32014_0abfda0b
32015_c0826306,"Vento panel rail - 2 pack,Colour",Panels,,Unit,44.88,,vento; panel; rail; pack; colour; panels; 32015_c0826306
32017_d7e1d4e8,"Vento panel rail - 2 pack,Colour",Panels,,Unit,44.88,,vento; panel; rail; pack; colour; panels; 32017_d7e1d4e8
32019_b60a69f7,"Vento panel rail - 2 pack,Colour",Panels,,Unit,44.88,,vento; panel; rail; pack; colour; panels; 32019_b60a69f7
32016_78b38a66,"Vento panel rail - 3 pack,Colour",Panels,,Unit,70.2,,vento; panel; rail; pack; colour; panels; 32016_78b38a66
32018_d83f958b,"Vento panel rail - 3 pack,Colour",Panels,,Unit,58.5,,vento; panel; rail; pack; colour; panels; 32018_d83f958b
32020_6c798d80,"Vento panel rail - 3 pack,Colour",Panels,,Unit,58.5,,vento; panel; rail; pack; colour; panels; 32020_6c798d80
32104_8769589f,Application gun - Wurth 300-380ml,General,,Unit,,Wurth,application; gun; wurth; 300; 380ml; general; 32104_8769589f
33074_f2d9f731,Application gun - FIS DM S DISPENSER,General,,Unit,,,application; gun; fis; dispenser; general; 33074_f2d9f731
32249_1febca1b,Gripple wire joiner large - 1 pack,Wire & Mesh,,Unit,1.2,,gripple; wire; joiner; large; pack; wire & mesh; 32249_1febca1b
32250_5d9a7c27,Gripple wire joiner large - 20 pack,Wire & Mesh,,Unit,,,gripple; wire; joiner; large; pack; wire & mesh; 32250_5d9a7c27
32284_fde4ba65,"Softshell jacket - xs,Colour",General,,Unit,,,softshell; jacket; colour; general; 32284_fde4ba65
32285_2b609e97,"Softshell jacket - xs,Colour",General,,Unit,,,softshell; jacket; colour; general; 32285_2b609e97
32286_ca4a03f4,"Softshell jacket - xs,Colour",General,,Unit,,,softshell; jacket; colour; general; 32286_ca4a03f4
32287_bd65af17,"Softshell jacket - s,Colour",General,,Unit,,,softshell; jacket; colour; general; 32287_bd65af17
32288_9afc91b9,"Softshell jacket - s,Colour",General,,Unit,,,softshell; jacket; colour; general; 32288_9afc91b9
32289_d2c2b7e7,"Softshell jacket - s,Colour",General,,Unit,,,softshell; jacket; colour; general; 32289_d2c2b7e7
32290_f8e159dc,"Softshell jacket - m,Colour",General,,Unit,,,softshell; jacket; colour; general; 32290_f8e159dc
32291_a0691cd1,"Softshell jacket - m,Colour",General,,Unit,,,softshell; jacket; colour; general; 32291_a0691cd1
32292_ef4f5b33,"Softshell jacket - m,Colour",General,,Unit,,,softshell; jacket; colour; general; 32292_ef4f5b33
32293_4dba5931,"Softshell jacket - l,Colour",General,,Unit,,,softshell; jacket; colour; general; 32293_4dba5931
32294_e2383381,"Softshell jacket - l,Colour",General,,Unit,,,softshell; jacket; colour; general; 32294_e2383381
32295_6ad3a2c7,"Softshell jacket - l,Colour",General,,Unit,,,softshell; jacket; colour; general; 32295_6ad3a2c7
32296_62144a39,"Softshell jacket - xl,Colour",General,,Unit,,,softshell; jacket; colour; general; 32296_62144a39
32297_6571913f,"Softshell jacket - xl,Colour",General,,Unit,,,softshell; jacket; colour; general; 32297_6571913f
32298_263066de,"Softshell jacket - xl,Colour",General,,Unit,,,softshell; jacket; colour; general; 32298_263066de
32432_2ca9ce71,Concrete gravel board - 1.8m x 300mm,Concrete Products,Individual Pieces,Unit,20,,concrete; gravel; board; 1.8m; 300mm; concrete products; individual pieces; 32432_2ca9ce71
32433_b3a09ff2,Concrete gravel board - 1.8m x 150mm,Concrete Products,Individual Pieces,Unit,,,concrete; gravel; board; 1.8m; 150mm; concrete products; individual pieces; 32433_b3a09ff2
32650_0fa0da5c,Carbine hooks - 60 x 6m BZP,General,,Unit,0.28,,carbine; hooks; bzp; general; 32650_0fa0da5c
32651_47bb53c0,Carbine hooks - 80 x 8mm BZP,General,Individual Pieces,Unit,0.38,,carbine; hooks; 8mm; bzp; general; individual pieces; 32651_47bb53c0
32652_2adad1e3,Carbine hooks - 100 x 10mm BZP,General,Individual Pieces,Unit,0.68,,carbine; hooks; 100; 10mm; bzp; general; individual pieces; 32652_2adad1e3
32653_78b65e86,"Hooks and Shackles - 8mm BZP,lock type",General,Individual Pieces,Unit,0.4,,hooks; and; shackles; 8mm; bzp; lock; type; general; individual pieces; 32653_78b65e86
32655_1cd16c2b,"Hooks and Shackles - 8mm BZP,lock type",General,Individual Pieces,Unit,0.94,,hooks; and; shackles; 8mm; bzp; lock; type; general; individual pieces; 32655_1cd16c2b
32659_7527dd2a,"Hooks and Shackles - 8mm BZP,lock type",General,Individual Pieces,Unit,,,hooks; and; shackles; 8mm; bzp; lock; type; general; individual pieces; 32659_7527dd2a
32656_f74920c0,"Hooks and Shackles - 50mm BZP,lock type",General,Individual Pieces,Unit,0.94,,hooks; and; shackles; 50mm; bzp; lock; type; general; individual pieces; 32656_f74920c0
32654_5a894270,"Hooks and Shackles - 50mm BZP,lock type",General,Individual Pieces,Unit,,,hooks; and; shackles; 50mm; bzp; lock; type; general; individual pieces; 32654_5a894270
32660_b546956f,"Hooks and Shackles - 50mm BZP,lock type",General,Individual Pieces,Unit,0.55,,hooks; and; shackles; 50mm; bzp; lock; type; general; individual pieces; 32660_b546956f
32661_d8926b99,"Hooks and Shackles - 76 x 19mm,lock type",General,Individual Pieces,Unit,1.06,,hooks; and; shackles; 19mm; lock; type; general; individual pieces; 32661_d8926b99
32657_65c69d1d,"Hooks and Shackles - 76 x 19mm,lock type",General,Individual Pieces,Unit,,,hooks; and; shackles; 19mm; lock; type; general; individual pieces; 32657_65c69d1d
32658_2fb07ace,"Hooks and Shackles - 76 x 19mm,lock type",General,Individual Pieces,Unit,,,hooks; and; shackles; 19mm; lock; type; general; individual pieces; 32658_2fb07ace
32667_f4261271,"Poly rope blue - 6mm,length",General,Individual Pieces,Unit,5.15,,poly; rope; blue; 6mm; length; general; individual pieces; 32667_f4261271
32668_eb910d40,"Poly rope blue - 6mm,length",General,Individual Pieces,Unit,,,poly; rope; blue; 6mm; length; general; individual pieces; 32668_eb910d40
32669_a2cf27a5,"Poly rope blue - 8mm,length",General,Individual Pieces,Unit,6.35,,poly; rope; blue; 8mm; length; general; individual pieces; 32669_a2cf27a5
32670_932ab71b,"Poly rope blue - 8mm,length",General,Individual Pieces,Unit,,,poly; rope; blue; 8mm; length; general; individual pieces; 32670_932ab71b
32671_8d3e31c6,"Poly rope blue - 10mm,length",General,Individual Pieces,Unit,9.8,,poly; rope; blue; 10mm; length; general; individual pieces; 32671_8d3e31c6
32672_645876ca,"Poly rope blue - 10mm,length",General,Individual Pieces,Unit,,,poly; rope; blue; 10mm; length; general; individual pieces; 32672_645876ca
32673_88f73d3a,"Poly rope blue - 12mm,length",General,Individual Pieces,Unit,13.35,,poly; rope; blue; 12mm; length; general; individual pieces; 32673_88f73d3a
32674_cc22c885,"Poly rope blue - 12mm,length",General,Individual Pieces,Unit,,,poly; rope; blue; 12mm; length; general; individual pieces; 32674_cc22c885
32751_c7f1bac7,Urban slatted panel rail - Anthracite grey,Panels,,Unit,50.4,,urban; slatted; panel; rail; anthracite; grey; panels; 32751_c7f1bac7
32750_1fad3ca6,Urban slatted panel rail - brown,Panels,,Unit,,,urban; slatted; panel; rail; brown; panels; 32750_1fad3ca6
32752_1deecc58,Urban slatted panel rail - Olive Grey B835000G,Panels,,Unit,50.4,,urban; slatted; panel; rail; olive; grey; b835000g; panels; 32752_1deecc58
33506_960668ac,Urban slatted composite board - Grey (2pk),General,,Unit,63.22,,urban; slatted; composite; board; grey; (2pk); general; 33506_960668ac
33505_9ce690d7,Urban slatted composite board - Brown (2pk),General,,Unit,68.91,,urban; slatted; composite; board; brown; (2pk); general; 33505_9ce690d7
33504_91b00518,Urban slatted composite board - Natural (2pk),General,,Unit,68.91,,urban; slatted; composite; board; natural; (2pk); general; 33504_91b00518
32839_160ffb18,Padlock - 40mm C/Shackle,General,Individual Pieces,Unit,6.26,,padlock; 40mm; shackle; general; individual pieces; 32839_160ffb18
32840_bd687995,Padlock - 60mm C /Shackle,General,Individual Pieces,Unit,9.1,,padlock; 60mm; shackle; general; individual pieces; 32840_bd687995
32841_ceb185c1,Padlock - 50mm Long Shackle,General,Individual Pieces,Unit,5.8,,padlock; 50mm; long; shackle; general; individual pieces; 32841_ceb185c1
32867_0db656c0,Nylon frame fixings - M10 x 80mm,General,Individual Pieces,Unit,0.06,,nylon; frame; fixings; m10; 80mm; general; individual pieces; 32867_0db656c0
32868_66c03087,Nylon frame fixings - M10 x 100mm,General,Individual Pieces,Unit,0.11,,nylon; frame; fixings; m10; 100mm; general; individual pieces; 32868_66c03087
32869_7683cfeb,Nylon frame fixings - M10 x 120mm,General,Individual Pieces,Unit,0.12,,nylon; frame; fixings; m10; 120mm; general; individual pieces; 32869_7683cfeb
32870_24d216c4,Nylon frame fixings - M10 x 140mm,General,Individual Pieces,Unit,0.15,,nylon; frame; fixings; m10; 140mm; general; individual pieces; 32870_24d216c4
33254_d35aadf4,Nylon frame fixings - M10 X 160mm,General,Individual Pieces,Unit,,,nylon; frame; fixings; m10; 160mm; general; individual pieces; 33254_d35aadf4
33064_90e8e6ff,Angle brackets HD galv - 40x40x40mm,Brackets,Individual Pieces,Unit,0.52,,angle; brackets; galv; 40x40x40mm; individual pieces; 33064_90e8e6ff
33065_6f6705bf,Angle brackets HD galv - 50x50x63mm,Brackets,Individual Pieces,Unit,0.62,,angle; brackets; galv; 50x50x63mm; individual pieces; 33065_6f6705bf
33066_1ef42540,Angle brackets HD galv - 60x40x63mm,Brackets,Individual Pieces,Unit,0.64,,angle; brackets; galv; 60x40x63mm; individual pieces; 33066_1ef42540
33067_e54a5559,Angle brackets HD galv - 60x60x40mm,Brackets,Individual Pieces,Unit,0.66,,angle; brackets; galv; 60x60x40mm; individual pieces; 33067_e54a5559
33068_05606cc6,Angle brackets HD galv - 60x60x60mm,Brackets,Individual Pieces,Unit,0.86,,angle; brackets; galv; 60x60x60mm; individual pieces; 33068_05606cc6
33069_4bb2fa6e,Angle brackets HD galv - 80x80x80mm,Brackets,Individual Pieces,Unit,1.47,,angle; brackets; galv; 80x80x80mm; individual pieces; 33069_4bb2fa6e
33070_c620c4c1,Angle brackets HD galv - 90x90x63mm,Brackets,Individual Pieces,Unit,1.5,,angle; brackets; galv; 90x90x63mm; individual pieces; 33070_c620c4c1
33071_cc8b346c,Angle brackets HD galv - 150x150x63mm,Brackets,Individual Pieces,Unit,1.45,,angle; brackets; galv; 150x150x63mm; individual pieces; 33071_cc8b346c
33072_33086d0d,Angle brackets HD galv - 150x90x63mm,Brackets,Individual Pieces,Unit,1.6,,angle; brackets; galv; 150x90x63mm; individual pieces; 33072_33086d0d
33131_f0cd0a75,Cup head bolt with nut BZP M6 - 50mm,Bolts,Individual Pieces,Unit,,,cup; head; bolt; with; nut; bzp; 50mm; bolts; individual pieces; 33131_f0cd0a75
33132_118b1261,Cup head bolt with nut BZP M6 - 60mm,Bolts,Individual Pieces,Unit,,,cup; head; bolt; with; nut; bzp; 60mm; bolts; individual pieces; 33132_118b1261
33133_e27ebeb9,Cup head bolt with nut BZP M6 - 75mm,Bolts,Individual Pieces,Unit,,,cup; head; bolt; with; nut; bzp; 75mm; bolts; individual pieces; 33133_e27ebeb9
33138_c0699bc0,Round wire nails 1kg - 40x2.36mm,Wire & Mesh,Individual Pieces,Unit,,,round; wire; nails; 1kg; 40x2.36mm; wire & mesh; individual pieces; 33138_c0699bc0
33139_f7d82eb9,Round wire nails 1kg - 40x2.65mm,Wire & Mesh,Individual Pieces,Unit,2.16,,round; wire; nails; 1kg; 40x2.65mm; wire & mesh; individual pieces; 33139_f7d82eb9
33140_02760230,Round wire nails 1kg - 50x2.65mm,Wire & Mesh,Individual Pieces,Unit,2.63,,round; wire; nails; 1kg; 50x2.65mm; wire & mesh; individual pieces; 33140_02760230
33141_3c9f3d35,Round wire nails 1kg - 65x2.65mm,Wire & Mesh,Individual Pieces,Unit,3.19,,round; wire; nails; 1kg; 65x2.65mm; wire & mesh; individual pieces; 33141_3c9f3d35
33142_35d6fba3,Round wire nails 1kg - 75x3.35mm,Wire & Mesh,Individual Pieces,Unit,3.32,,round; wire; nails; 1kg; 75x3.35mm; wire & mesh; individual pieces; 33142_35d6fba3
33143_26b6fb22,Round wire nails 1kg - 100x4.0mm,Wire & Mesh,Individual Pieces,Unit,,,round; wire; nails; 1kg; 100x4.0mm; wire & mesh; individual pieces; 33143_26b6fb22
33144_2d1936d4,Round wire nails 1kg - 100x4.5mm,Wire & Mesh,Individual Pieces,Unit,3.29,,round; wire; nails; 1kg; 100x4.5mm; wire & mesh; individual pieces; 33144_2d1936d4
33145_ccdb1edf,Round wire nails 1kg - 125x5.6mm,Wire & Mesh,Individual Pieces,Unit,,,round; wire; nails; 1kg; 125x5.6mm; wire & mesh; individual pieces; 33145_ccdb1edf
33146_f58496b0,Round wire nails 1kg - 150x6.0mm,Wire & Mesh,Individual Pieces,Unit,3.31,,round; wire; nails; 1kg; 150x6.0mm; wire & mesh; individual pieces; 33146_f58496b0
33147_2c8c26ea,Round wire nails 2.5kg - 40x2.36mm,Wire & Mesh,Individual Pieces,Unit,,,round; wire; nails; 2.5kg; 40x2.36mm; wire & mesh; individual pieces; 33147_2c8c26ea
33148_7f08478f,Round wire nails 2.5kg - 40x2.65mm,Wire & Mesh,Individual Pieces,Unit,,,round; wire; nails; 2.5kg; 40x2.65mm; wire & mesh; individual pieces; 33148_7f08478f
33149_bd814c07,Round wire nails 2.5kg - 50x2.65mm,Wire & Mesh,Individual Pieces,Unit,,,round; wire; nails; 2.5kg; 50x2.65mm; wire & mesh; individual pieces; 33149_bd814c07
33150_73348de8,Round wire nails 2.5kg - 65x2.65mm,Wire & Mesh,Individual Pieces,Unit,,,round; wire; nails; 2.5kg; 65x2.65mm; wire & mesh; individual pieces; 33150_73348de8
33151_464199f2,Round wire nails 2.5kg - 75x3.35mm,Wire & Mesh,Individual Pieces,Unit,,,round; wire; nails; 2.5kg; 75x3.35mm; wire & mesh; individual pieces; 33151_464199f2
33152_c9d3ce23,Round wire nails 2.5kg - 100x4.0mm,Wire & Mesh,Individual Pieces,Unit,,,round; wire; nails; 2.5kg; 100x4.0mm; wire & mesh; individual pieces; 33152_c9d3ce23
33153_d3782da9,Round wire nails 2.5kg - 100x4.5mm,Wire & Mesh,Individual Pieces,Unit,,,round; wire; nails; 2.5kg; 100x4.5mm; wire & mesh; individual pieces; 33153_d3782da9
33154_91948325,Round wire nails 2.5kg - 125x5.6mm,Wire & Mesh,Individual Pieces,Unit,,,round; wire; nails; 2.5kg; 125x5.6mm; wire & mesh; individual pieces; 33154_91948325
33155_b0cf8119,Round wire nails 2.5kg - 150x6.0mm,Wire & Mesh,Individual Pieces,Unit,,,round; wire; nails; 2.5kg; 150x6.0mm; wire & mesh; individual pieces; 33155_b0cf8119
33176_6c730740,Hex head timber screws - 70mm,Screws,Individual Pieces,Unit,0.102,,hex; head; timber; screws; 70mm; individual pieces; 33176_6c730740
33177_dacb505d,Hex head timber screws - 90mm,Screws,Individual Pieces,Unit,0.111,,hex; head; timber; screws; 90mm; individual pieces; 33177_dacb505d
33178_b62ce4fc,Hex head timber screws - 100mm,Screws,Individual Pieces,Unit,0.133,,hex; head; timber; screws; 100mm; individual pieces; 33178_b62ce4fc
33179_cde45332,Hex head timber screws - 140mm,Screws,Individual Pieces,Unit,0.18,,hex; head; timber; screws; 140mm; individual pieces; 33179_cde45332
33180_3cede935,Hex head timber screws - 150mm,Screws,Individual Pieces,Unit,0.19,,hex; head; timber; screws; 150mm; individual pieces; 33180_3cede935
33181_4a2614ba,Hex head timber screws - 200mm,Screws,Individual Pieces,Unit,0.25,,hex; head; timber; screws; 200mm; individual pieces; 33181_4a2614ba
33182_009b003c,Hex head timber screws - 250mm,Screws,Individual Pieces,Unit,0.27,,hex; head; timber; screws; 250mm; individual pieces; 33182_009b003c
33191_25a791c4,Countersunk timber screws BZP - 3.5x25mm,Screws,Individual Pieces,Unit,0.56,,countersunk; timber; screws; bzp; 3.5x25mm; individual pieces; 33191_25a791c4
33192_ce657e1c,Countersunk timber screws BZP - 3.5x30mm,Screws,Individual Pieces,Unit,0.65,,countersunk; timber; screws; bzp; 3.5x30mm; individual pieces; 33192_ce657e1c
33193_81b67740,Countersunk timber screws BZP - 3.5x40mm,Screws,Individual Pieces,Unit,0.76,,countersunk; timber; screws; bzp; 3.5x40mm; individual pieces; 33193_81b67740
33194_af43457f,Countersunk timber screws BZP - 3.5x50mm,Screws,Individual Pieces,Unit,0.89,,countersunk; timber; screws; bzp; 3.5x50mm; individual pieces; 33194_af43457f
33195_86812236,Countersunk timber screws BZP - 4x25mm,Screws,Individual Pieces,Unit,,,countersunk; timber; screws; bzp; 4x25mm; individual pieces; 33195_86812236
33196_81dcf3f5,Countersunk timber screws BZP - 4x30mm,Screws,Individual Pieces,Unit,,,countersunk; timber; screws; bzp; 4x30mm; individual pieces; 33196_81dcf3f5
33197_50fcf5f6,Countersunk timber screws BZP - 4x40mm,Screws,Individual Pieces,Unit,2.6,,countersunk; timber; screws; bzp; 4x40mm; individual pieces; 33197_50fcf5f6
33198_c3514697,Countersunk timber screws BZP - 4x45mm,Screws,Individual Pieces,Unit,,,countersunk; timber; screws; bzp; 4x45mm; individual pieces; 33198_c3514697
33199_e1337a8a,Countersunk timber screws BZP - 4x50mm,Screws,Individual Pieces,Unit,3.12,,countersunk; timber; screws; bzp; 4x50mm; individual pieces; 33199_e1337a8a
33200_c42aa362,Countersunk timber screws BZP - 4x60mm,Screws,Individual Pieces,Unit,2.22,,countersunk; timber; screws; bzp; 4x60mm; individual pieces; 33200_c42aa362
33201_67b4ab64,Countersunk timber screws BZP - 4x70mm,Screws,Individual Pieces,Unit,2.35,,countersunk; timber; screws; bzp; 4x70mm; individual pieces; 33201_67b4ab64
33202_eb4a43fb,Countersunk timber screws BZP - 4.5x25mm,Screws,Individual Pieces,Unit,0.68,,countersunk; timber; screws; bzp; 4.5x25mm; individual pieces; 33202_eb4a43fb
33203_8a7470fb,Countersunk timber screws BZP - 4.5x30mm,Screws,Individual Pieces,Unit,0.81,,countersunk; timber; screws; bzp; 4.5x30mm; individual pieces; 33203_8a7470fb
33204_ad40cc65,Countersunk timber screws BZP - 4.5x40mm,Screws,Individual Pieces,Unit,3.18,,countersunk; timber; screws; bzp; 4.5x40mm; individual pieces; 33204_ad40cc65
33205_caab808c,Countersunk timber screws BZP - 4.5x50mm,Screws,Individual Pieces,Unit,1.25,,countersunk; timber; screws; bzp; 4.5x50mm; individual pieces; 33205_caab808c
33206_7bc4d6d9,Countersunk timber screws BZP - 4.5x70mm,Screws,Individual Pieces,Unit,2.66,,countersunk; timber; screws; bzp; 4.5x70mm; individual pieces; 33206_7bc4d6d9
33207_ed3e89e2,Countersunk timber screws BZP - 5x30mm,Screws,Individual Pieces,Unit,,,countersunk; timber; screws; bzp; 5x30mm; individual pieces; 33207_ed3e89e2
33208_86edf6c0,Countersunk timber screws BZP - 5x40mm,Screws,Individual Pieces,Unit,,,countersunk; timber; screws; bzp; 5x40mm; individual pieces; 33208_86edf6c0
33209_5114b0e6,Countersunk timber screws BZP - 5x50mm,Screws,Individual Pieces,Unit,,,countersunk; timber; screws; bzp; 5x50mm; individual pieces; 33209_5114b0e6
33210_027c145a,Countersunk timber screws BZP - 5x60mm,Screws,Individual Pieces,Unit,,,countersunk; timber; screws; bzp; 5x60mm; individual pieces; 33210_027c145a
33211_6d953fb6,Countersunk timber screws BZP - 5x70mm,Screws,Individual Pieces,Unit,2.49,,countersunk; timber; screws; bzp; 5x70mm; individual pieces; 33211_6d953fb6
33213_30a55b66,Countersunk timber screws BZP - 5x90mm,Screws,Individual Pieces,Unit,3.89,,countersunk; timber; screws; bzp; 5x90mm; individual pieces; 33213_30a55b66
33214_008f2e69,Countersunk timber screws BZP - 5x100mm,Screws,Individual Pieces,Unit,4.02,,countersunk; timber; screws; bzp; 5x100mm; individual pieces; 33214_008f2e69
33215_cc8503c2,Countersunk timber screws BZP - 6x40mm,Screws,Individual Pieces,Unit,,,countersunk; timber; screws; bzp; 6x40mm; individual pieces; 33215_cc8503c2
33216_2d486d65,Countersunk timber screws BZP - 6x50mm,Screws,Individual Pieces,Unit,,,countersunk; timber; screws; bzp; 6x50mm; individual pieces; 33216_2d486d65
33217_1375a909,Countersunk timber screws BZP - 6x60mm,Screws,Individual Pieces,Unit,2.07,,countersunk; timber; screws; bzp; 6x60mm; individual pieces; 33217_1375a909
33218_f0097499,Countersunk timber screws BZP - 6x80mm,Screws,Individual Pieces,Unit,2,,countersunk; timber; screws; bzp; 6x80mm; individual pieces; 33218_f0097499
