_id,code,ref,description,category,subcategory,unit,rate,keywords
0e64592b-7731-4a98-b6ef-d8c86a94e87e,34090_b882e60b,__export__.product_product_34090_b882e60b,Post HCO - timber 2.1m * 100-125mm 15y,Posts,Standard Posts,Unit,13,"post; hco; timber; 2.1m; 125mm; 15y; posts; standard posts; standard; 34090_b882e60b"
b5846866-9677-41da-906f-132310b0c15d,35586_57f5f21c,__export__.product_product_35586_57f5f21c,Post HCO - timber 1.8m * 100-125mm 15y,Posts,Standard Posts,Unit,9,"post; hco; timber; 1.8m; 125mm; 15y; posts; standard posts; standard; 35586_57f5f21c"
eda0040b-d2a7-4f3b-bffa-a2d2a4031ed3,35823_56765623,__export__.product_product_35823_56765623,Post HCO - timber 2.4m * 100-125mm 15y,Posts,Standard Posts,Unit,17,"post; hco; timber; 2.4m; 125mm; 15y; posts; standard posts; standard; 35823_56765623"
af3143ef-4d13-4472-b8ff-4e1567ec1874,35958_96494f14,__export__.product_product_35958_96494f14,Post HCO - timber 1.8m * 75mm 25y,Posts,Standard Posts,Unit,6.35,"post; hco; timber; 1.8m; 75mm; 25y; posts; standard posts; standard; 35958_96494f14"
9118e653-54c1-41a8-8cbf-f3484c87a4e0,35959_f17ee84c,__export__.product_product_35959_f17ee84c,Post HCO - timber 1.8m * 85mm 25y,Posts,Standard Posts,Unit,7.65,"post; hco; timber; 1.8m; 85mm; 25y; posts; standard posts; standard; 35959_f17ee84c"
ba99c6fd-cf2a-43f8-9d85-3d2c0f7bf33d,35960_beaa78c7,__export__.product_product_35960_beaa78c7,Post HCO - timber 1.8m * 100mm 25y,Posts,Standard Posts,Unit,9.89,"post; hco; timber; 1.8m; 100mm; 25y; posts; standard posts; standard; 35960_beaa78c7"
163c9242-659f-4cb9-a7de-f97c05cdc22e,35722_29060f0d,__export__.product_product_35722_29060f0d,Bolt spectator railing - steel galv M12 * 100mm,Bolts,Standard Bolts,Unit,0.73,"bolt; spectator; railing; steel; galv; m12; 100mm; bolts; standard bolts; standard; 35722_29060f0d"
177c296f-8936-40c9-8b98-1744b8f259f4,34091_33b571cc,__export__.product_product_34091_33b571cc,Bolt spectator railing - steel galv M12 * 80mm,Bolts,Standard Bolts,Unit,0.4,"bolt; spectator; railing; steel; galv; m12; 80mm; bolts; standard bolts; standard; 34091_33b571cc"
3f388358-93c5-46bc-96f3-f9fb44237ec6,34092_f86b5790,__export__.product_product_34092_f86b5790,Bolt spectator railing - steel galv M12 * 90mm,Bolts,Standard Bolts,Unit,0.59,"bolt; spectator; railing; steel; galv; m12; 90mm; bolts; standard bolts; standard; 34092_f86b5790"
e88b572d-ba5b-46df-9380-4f78532f49c5,34093_09bad214,__export__.product_product_34093_09bad214,Bracket spectator railing - angle steel black 60 * 40mm,Brackets,Standard Brackets,Unit,1.95,"bracket; spectator; railing; angle; steel; black; 40mm; brackets; standard brackets; standard; 34093_09bad214"
1e85a889-62a8-47dc-8d5d-a4f4db2f6e26,34094_7794c9c4,__export__.product_product_34094_7794c9c4,Bracket spectator railing - angle steel green 60 * 40mm,Brackets,Standard Brackets,Unit,1.95,"bracket; spectator; railing; angle; steel; green; 40mm; brackets; standard brackets; standard; 34094_7794c9c4"
f0f2abf8-8b00-4c8b-a78f-cd3358e9381d,34413_27fd1ab6,__export__.product_product_34413_27fd1ab6,Bracket spectator railing - angle steel black 50 * 50mm,Brackets,Standard Brackets,Unit,1,"bracket; spectator; railing; angle; steel; black; 50mm; brackets; standard brackets; standard; 34413_27fd1ab6"
6409ba66-ac52-44b1-8572-82ec049232fb,34414_f211800a,__export__.product_product_34414_f211800a,Bracket spectator railing - angle steel green 50 * 50mm,Brackets,Standard Brackets,Unit,1,"bracket; spectator; railing; angle; steel; green; 50mm; brackets; standard brackets; standard; 34414_f211800a"
43e3c150-03fe-42a5-8a83-6d23a44fe8f4,34095_70b8d3cf,__export__.product_product_34095_70b8d3cf,Rail for top spectator railing - steel black 2.4m * 60 * 60mm square,General Hardware,Standard General Hardware,Unit,21.7,"rail; for; top; spectator; railing; steel; black; 2.4m; 60mm; square; general hardware; general; hardware; standard general hardware; standard; 34095_70b8d3cf"
d2567a43-3250-4f94-bb94-ebc23cab5782,34096_ab7b7d61,__export__.product_product_34096_ab7b7d61,Rail for top spectator railing - steel green 2.4m * 60 * 60mm square,General Hardware,Standard General Hardware,Unit,19.89,"rail; for; top; spectator; railing; steel; green; 2.4m; 60mm; square; general hardware; general; hardware; standard general hardware; standard; 34096_ab7b7d61"
49460846-3a5e-4111-843c-5d574448002a,34393_71017120,__export__.product_product_34393_71017120,Rail for top spectator railing - steel black 2.5m * 60mm tube,General Hardware,Standard General Hardware,Unit,1,"rail; for; top; spectator; railing; steel; black; 2.5m; 60mm; tube; general hardware; general; hardware; standard general hardware; standard; 34393_71017120"
2162ba8a-2be2-4e5a-ac32-73e303b769a8,34394_4f8fdb5c,__export__.product_product_34394_4f8fdb5c,Rail for top spectator railing - steel green 2.5m * 60mm tube,General Hardware,Standard General Hardware,Unit,1,"rail; for; top; spectator; railing; steel; green; 2.5m; 60mm; tube; general hardware; general; hardware; standard general hardware; standard; 34394_4f8fdb5c"
652b68f4-4324-4f87-9ae5-4d6588f0646f,34098_451f71ae,__export__.product_product_34098_451f71ae,Post spectator railing - steel black 1.8m * 60 * 60mm for square top,Posts,Standard Posts,Unit,16.5,"post; spectator; railing; steel; black; 1.8m; 60mm; for; square; top; posts; standard posts; standard; 34098_451f71ae"
d2bac263-fa7e-4b59-99ff-9bfddde2243c,34099_6bbd727d,__export__.product_product_34099_6bbd727d,Post spectator railing - steel green 1.8m * 60 * 60mm for square top,Posts,Standard Posts,Unit,18.46,"post; spectator; railing; steel; green; 1.8m; 60mm; for; square; top; posts; standard posts; standard; 34099_6bbd727d"
f56b0342-b8a3-4c29-a191-7d742eff8348,34391_697b376f,__export__.product_product_34391_697b376f,Post spectator railing - steel black 2m * 60 * 40mm for tubular top,Posts,Standard Posts,Unit,1,"post; spectator; railing; steel; black; 40mm; for; tubular; top; posts; standard posts; standard; 34391_697b376f"
d53989a1-950c-4f27-9f39-7fa5106f6bc3,34392_41e19a08,__export__.product_product_34392_41e19a08,Post spectator railing - steel green 2m * 60 * 40mm for tubular top,Posts,Standard Posts,Unit,1,"post; spectator; railing; steel; green; 40mm; for; tubular; top; posts; standard posts; standard; 34392_41e19a08"
51b69d6e-5501-4017-bb14-a45e384aff18,34100_6ea9b345,__export__.product_product_34100_6ea9b345,Mesh panel 656 spectator railing - black 1m * 2.5m,Panels,Standard Panels,Unit,1,"mesh; panel; spectator; railing; black; 2.5m; panels; standard panels; standard; 34100_6ea9b345"
21ffac5a-54c2-4742-b23b-2ab181a579b1,34101_ce808a1a,__export__.product_product_34101_ce808a1a,Mesh panel 656 spectator railing - green 1m * 2.5m,Panels,Standard Panels,Unit,1,"mesh; panel; spectator; railing; green; 2.5m; panels; standard panels; standard; 34101_ce808a1a"
e1c366f8-7ade-4464-a325-e150c7f5cbb4,34102_79eb676e,__export__.product_product_34102_79eb676e,Mesh panel 868 spectator railing - black 1m * 2.5m,Panels,Standard Panels,Unit,1,"mesh; panel; spectator; railing; black; 2.5m; panels; standard panels; standard; 34102_79eb676e"
d6d8a4f9-2816-46f2-a5ea-1d6a5d79a658,34103_42c72440,__export__.product_product_34103_42c72440,Mesh panel 868 spectator railing - green 1m * 2.5m,Panels,Standard Panels,Unit,1,"mesh; panel; spectator; railing; green; 2.5m; panels; standard panels; standard; 34103_42c72440"
9dd87757-45ad-4c29-8835-e1dad696b535,34109_00252fe4,__export__.product_product_34109_00252fe4,"Supply and fit stock fence to site - 3 sides sheep wire and 1 plain wire posts at 3m centers, 1No 14' D4 field gate on driven strainers",Fencing,General Fencing,Unit,1375.26,"supply; and; fit; stock; fence; site; sides; sheep; wire; plain; posts; centers; 1no; 14'; field; gate; driven; strainers; fencing; general fencing; general; 34109_00252fe4"
b2e7a2a9-eff5-4e41-84d3-b80dbc48255c,34110_af00045a,__export__.product_product_34110_af00045a,Supply and fit stock fence to site - 1 side,Fencing,General Fencing,Unit,1,"supply; and; fit; stock; fence; site; side; fencing; general fencing; general; 34110_af00045a"
b1a22258-6cd0-4dfd-b96d-e27eab2a1740,34254_dd0b9082,__export__.product_product_34254_dd0b9082,"Supply and fit stock fence to site - 1 side straight line down field approx. 78m, 2.4m Hot copper oil long life strainers as required with 1.8m x 75-100mm Hot copper oil long life posts at 3m centers, galv high tensile 8-80-22 lamb safe wire with 2 strands high tensile barb wire",Fencing,General Fencing,Unit,1167.7,"supply; and; fit; stock; fence; site; side; straight; line; down; field; approx.; 78m; 2.4m; hot; copper; oil; long; life; strainers; required; with; 1.8m; 100mm; posts; centers; galv; high; tensile; lamb; safe; wire; strands; barb; fencing; general fencing; general; 34254_dd0b9082"
47b26639-46d3-4d21-b9d0-63b516294449,34111_503c0795,__export__.product_product_34111_503c0795,System Eclipse - kit black 1.2m * 3.0m,General Hardware,Standard General Hardware,Unit,49.683,"system; eclipse; kit; black; 1.2m; 3.0m; general hardware; general; hardware; standard general hardware; standard; 34111_503c0795"
f8ab5652-6c5f-4ae4-b808-d9997c371a6a,34112_d2f58e17,__export__.product_product_34112_d2f58e17,System Eclipse - kit black 1.8m * 3.0m,General Hardware,Standard General Hardware,Unit,58.391,"system; eclipse; kit; black; 1.8m; 3.0m; general hardware; general; hardware; standard general hardware; standard; 34112_d2f58e17"
f6e223bd-edae-452e-8bfd-b35f6419fa63,34113_5c6b7b2c,__export__.product_product_34113_5c6b7b2c,System Eclipse - kit black 2.4m * 3.0m,General Hardware,Standard General Hardware,Unit,71.173,"system; eclipse; kit; black; 2.4m; 3.0m; general hardware; general; hardware; standard general hardware; standard; 34113_5c6b7b2c"
c52b6710-dfa2-4afd-80e4-de7ea701f00f,34114_aa23e73b,__export__.product_product_34114_aa23e73b,System Eclipse - kit black 3.0m * 2.8m,General Hardware,Standard General Hardware,Unit,159.32,"system; eclipse; kit; black; 3.0m; 2.8m; general hardware; general; hardware; standard general hardware; standard; 34114_aa23e73b"
609d8014-559e-4167-9906-f78f11362ae3,34115_bdb829a3,__export__.product_product_34115_bdb829a3,System Eclipse - kit green 1.2m * 3.0m,General Hardware,Standard General Hardware,Unit,49.683,"system; eclipse; kit; green; 1.2m; 3.0m; general hardware; general; hardware; standard general hardware; standard; 34115_bdb829a3"
e72da3c1-db0c-4cf1-b10f-fb43d2c40f73,34116_ff1138d0,__export__.product_product_34116_ff1138d0,System Eclipse - kit green 1.8m * 3.0m,General Hardware,Standard General Hardware,Unit,55.333,"system; eclipse; kit; green; 1.8m; 3.0m; general hardware; general; hardware; standard general hardware; standard; 34116_ff1138d0"
28b233bf-f84c-4c11-8b6b-3a8d78c3b0f9,34117_6bfd2706,__export__.product_product_34117_6bfd2706,System Eclipse - kit green 2.0m * 3.0m,General Hardware,Standard General Hardware,Unit,64.273,"system; eclipse; kit; green; 2.0m; 3.0m; general hardware; general; hardware; standard general hardware; standard; 34117_6bfd2706"
d97ccef9-47ce-4363-bdd4-bdd6c38b4d3d,34118_63b2519d,__export__.product_product_34118_63b2519d,System Eclipse - kit green 2.4m * 3.0m,General Hardware,Standard General Hardware,Unit,71.753,"system; eclipse; kit; green; 2.4m; 3.0m; general hardware; general; hardware; standard general hardware; standard; 34118_63b2519d"
ef3bfad6-483e-406d-ab6a-b88af6e6f0bb,34119_f13b23d4,__export__.product_product_34119_f13b23d4,System Eclipse - kit green 3.0m * 2.8m,General Hardware,Standard General Hardware,Unit,195.11,"system; eclipse; kit; green; 3.0m; 2.8m; general hardware; general; hardware; standard general hardware; standard; 34119_f13b23d4"
5faf6f09-7c35-49ad-a863-4d9619c506ef,34120_996d1ba2,__export__.product_product_34120_996d1ba2,System Eclipse Marine Grade - kit black 1.2m * 3.0m,General Hardware,Standard General Hardware,Unit,53.91,"system; eclipse; marine; grade; kit; black; 1.2m; 3.0m; general hardware; general; hardware; standard general hardware; standard; 34120_996d1ba2"
ae5f7647-3582-4c24-b50d-9ac5f17a914b,34121_5d39ad6f,__export__.product_product_34121_5d39ad6f,System Eclipse Marine Grade - kit black 1.8m * 3.0m,General Hardware,Standard General Hardware,Unit,96.32,"system; eclipse; marine; grade; kit; black; 1.8m; 3.0m; general hardware; general; hardware; standard general hardware; standard; 34121_5d39ad6f"
