id,code,ref,description,category,subcategory,unit,rate,material_type,material_grade,material_size,material_finish,work_type,brand,labor_rate,material_rate,wastage_percentage,supplier,location,availability,remark,keywords,isActive
b0afac2a-9c39-4d32-a3a2-6724c0bc784d,34393_71017120,__export__.product_product_34393_71017120,Rail for top spectator railing - steel black 2.5m * 60mm tube,General,Individual Pieces,Unit,,,,steel black 2.5m * 60mm tube,,,,,,,,,,steel black 2.5m * 60mm tube,rail; for; top; spectator; railing; steel; black; 2.5m; 60mm; tube; general; individual pieces; 34393_71017120,true
3cb5dae2-bd32-4041-b660-ef042b288e52,34394_4f8fdb5c,__export__.product_product_34394_4f8fdb5c,Rail for top spectator railing - steel green 2.5m * 60mm tube,General,Individual Pieces,Unit,,,,steel green 2.5m * 60mm tube,,,,,,,,,,steel green 2.5m * 60mm tube,rail; for; top; spectator; railing; steel; green; 2.5m; 60mm; tube; general; individual pieces; 34394_4f8fdb5c,true
42167f69-729f-406e-87e4-b41657961b3b,34098_451f71ae,__export__.product_product_34098_451f71ae,Post spectator railing - steel black 1.8m * 60 * 60mm for square top,Posts,Individual Pieces,Unit,16.5,,,steel black 1.8m * 60 * 60mm for square top,,,,,,,,,,steel black 1.8m * 60 * 60mm for square top,post; spectator; railing; steel; black; 1.8m; 60mm; for; square; top; posts; individual pieces; 34098_451f71ae,true
c700837e-7f1b-450a-92f2-47d8b54d06d1,34099_6bbd727d,__export__.product_product_34099_6bbd727d,Post spectator railing - steel green 1.8m * 60 * 60mm for square top,Posts,Individual Pieces,Unit,18.46,,,steel green 1.8m * 60 * 60mm for square top,,,,,,,,,,steel green 1.8m * 60 * 60mm for square top,post; spectator; railing; steel; green; 1.8m; 60mm; for; square; top; posts; individual pieces; 34099_6bbd727d,true
ee0af097-e518-45c2-9e28-8481343eba43,34391_697b376f,__export__.product_product_34391_697b376f,Post spectator railing - steel black 2m * 60 * 40mm for tubular top,Posts,Individual Pieces,Unit,,,,steel black 2m * 60 * 40mm for tubular top,,,,,,,,,,steel black 2m * 60 * 40mm for tubular top,post; spectator; railing; steel; black; 40mm; for; tubular; top; posts; individual pieces; 34391_697b376f,true
0c0a8922-ff05-4709-a5d0-32694b862865,34392_41e19a08,__export__.product_product_34392_41e19a08,Post spectator railing - steel green 2m * 60 * 40mm for tubular top,Posts,Individual Pieces,Unit,,,,steel green 2m * 60 * 40mm for tubular top,,,,,,,,,,steel green 2m * 60 * 40mm for tubular top,post; spectator; railing; steel; green; 40mm; for; tubular; top; posts; individual pieces; 34392_41e19a08,true
5b8435ce-4071-4131-9764-aff5ff15e70c,34100_6ea9b345,__export__.product_product_34100_6ea9b345,Mesh panel 656 spectator railing - black 1m * 2.5m,Panels,,Unit,,,,black 1m * 2.5m,,,,,,,,,,black 1m * 2.5m,mesh; panel; 656; spectator; railing; black; 2.5m; panels; 34100_6ea9b345,true
bbd7e6f4-b0e9-4854-b795-9296041f9d55,34101_ce808a1a,__export__.product_product_34101_ce808a1a,Mesh panel 656 spectator railing - green 1m * 2.5m,Panels,,Unit,,,,green 1m * 2.5m,,,,,,,,,,green 1m * 2.5m,mesh; panel; 656; spectator; railing; green; 2.5m; panels; 34101_ce808a1a,true
8ad4e7b3-5571-484a-867f-c5509acdb032,34102_79eb676e,__export__.product_product_34102_79eb676e,Mesh panel 868 spectator railing - black 1m * 2.5m,Panels,,Unit,,,,black 1m * 2.5m,,,,,,,,,,black 1m * 2.5m,mesh; panel; 868; spectator; railing; black; 2.5m; panels; 34102_79eb676e,true
a269e281-912d-4c92-8653-5e0249de33ed,34103_42c72440,__export__.product_product_34103_42c72440,Mesh panel 868 spectator railing - green 1m * 2.5m,Panels,,Unit,,,,green 1m * 2.5m,,,,,,,,,,green 1m * 2.5m,mesh; panel; 868; spectator; railing; green; 2.5m; panels; 34103_42c72440,true
